대분류,식당 이름,주소,행정구역,지역,전화번호,예약링크
맛집,멘,제주 제주시 박성내서길 8-1 (이도이동),제주시,제주시내,,
맛집,좋아좋아숯불갈비,제주 제주시 북성로 12 (삼도2동),제주시,제주시내,,
맛집,운산식당,제주 제주시 북성로 28 1층 (삼도이동),제주시,제주시내,,
맛집,말고기연구소,제주 제주시 북성로 43 1층 (삼도이동),제주시,제주시내,,
맛집,종로3가,제주 제주시 북성로 9 (삼도2동),제주시,제주시내,,
맛집,복집식당,제주 제주시 비룡길 5 (용담일동),제주시,제주시내,,
맛집,르부이부이,제주 제주시 사라봉7길 32 (건입동),제주시,제주시내,,
맛집,안전식당,제주 제주시 사라봉길 4 (건입동),제주시,제주시내,,
맛집,제쭈도,제주 제주시 사장2길 12 1층 (연동),제주시,제주시내,,
맛집,제마닭,제주 제주시 사장길 12 1층 (연동),제주시,제주시내,,
맛집,돈게도라갈비,제주 제주시 사장길 8 (연동),제주시,제주시내,,
맛집,매력식당,제주 제주시 산천단동1길 20-9 1층 (아라일동),제주시,제주시내,,
맛집,케무리,제주 제주시 삼무로 41 1층 상가 (연동),제주시,제주시내,,
맛집,흥미맛집,제주 제주시 삼무로 77 (연동),제주시,제주시내,,
맛집,미나리,제주 제주시 삼무로11길 34 (연동),제주시,제주시내,,
맛집,미송식탁,제주 제주시 삼무로11길 36 (연동),제주시,제주시내,,
맛집,다인양곱창,제주 제주시 삼무로3길 40 (연동),제주시,제주시내,,
맛집,황소곱창,제주 제주시 삼무로3길 8 (연동),제주시,제주시내,,
맛집,담,제주 제주시 삼무로9길 39 (연동),제주시,제주시내,,
맛집,스시마씸 삼화점,제주 제주시 삼봉로 39 1층 (도련이동),제주시,제주시내,,
맛집,곰표반점 도련점,제주 제주시 삼봉로 47 (도련이동),제주시,제주시내,,
맛집,석인장,제주 제주시 삼성로 108 (일도이동),제주시,제주시내,,
맛집,집아페,제주 제주시 서광로13길 3 (삼도1동),제주시,제주시내,,
맛집,찐국수랑김밥,제주 제주시 서광로20길 17 (삼도일동),제주시,제주시내,,
맛집,다담,제주 제주시 서광로2길 11-18 (오라일동),제주시,제주시내,,
맛집,현옥식당,제주 제주시 서광로2길 35 (오라일동),제주시,제주시내,,
맛집,상위호환,제주 제주시 서광로32길 16-1 2층 (이도이동),제주시,제주시내,,
맛집,대일횟집,제주 제주시 서광로32길 24 (이도2동),제주시,제주시내,,
맛집,냄비에퐁닭,제주 제주시 서광로32길 26-5 (이도2동),제주시,제주시내,,
맛집,일과삶사이틈,제주 제주시 서광로32길 27-3 (이도2동),제주시,제주시내,,
맛집,원스몰글라스,제주 제주시 서광로32길 27-3 2층 (이도이동),제주시,제주시내,,
맛집,모토이시 제주시청점,제주 제주시 서광로32길 29 1층 (이도이동),제주시,제주시내,,
맛집,울돝,제주 제주시 서광로32길 37 (이도2동),제주시,제주시내,,
맛집,시청골목집,제주 제주시 서광로32길 39-3 (이도2동),제주시,제주시내,,
맛집,삼합소,제주 제주시 서광로32길 40-1 1층 (이도이동),제주시,제주시내,,
맛집,남원식당,제주 제주시 서광로3길 6 (용담일동),제주시,제주시내,,
맛집,용이식당,제주 제주시 서광로4길 8 (오라일동),제주시,제주시내,,
맛집,넉둥베기,제주 제주시 서문로 9-1 (용담1동),제주시,제주시내,,
맛집,끄티,제주 제주시 서부두길 22 (건입동),제주시,제주시내,,
맛집,곤밥2,제주 제주시 서부두남길 8 (일도일동),제주시,제주시내,,
맛집,우진해장국,제주 제주시 서사로 11 (삼도2동),제주시,제주시내,,
맛집,탐라가든,제주 제주시 서사로 51 (삼도2동),제주시,제주시내,,
맛집,연참치,제주 제주시 서사로19길 4 (삼도1동),제주시,제주시내,,
맛집,어림향,제주 제주시 서사로24길 22 (삼도1동),제주시,제주시내,,
맛집,호또모또,제주 제주시 서해안로 291-4 (도두이동),제주시,제주시내,,
맛집,위즈피자,제주 제주시 서해안로 468-2 1층 (용담삼동),제주시,제주시내,,
맛집,너럭,제주 제주시 서해안로 671 1층 (용담삼동),제주시,제주시내,,
맛집,삼화포구,제주 제주시 서흘1길 26 (삼양일동),제주시,제주시내,,
맛집,재현이네갈비,제주 제주시 선덕로 7 (연동),제주시,제주시내,,
맛집,수복강녕,제주 제주시 선덕로3길 40 (연동),제주시,제주시내,,
맛집,화정,제주 제주시 선덕로3길 44 (연동),제주시,제주시내,,
맛집,명가손만두와보말칼국수,제주 제주시 선덕로5길 19 (연동),제주시,제주시내,,
맛집,서흘포가든,제주 제주시 선사로6길 12 064-726-0707 (삼양일동),제주시,제주시내,,
맛집,설촌명가,제주 제주시 설촌로 11 (삼양이동),제주시,제주시내,,
맛집,풍년식당,"제주 제주시 설촌로2길 23 103,104호 (삼양이동)",제주시,제주시내,,
맛집,성두길15포차,제주 제주시 성두길 15 1층 (연동),제주시,제주시내,,
맛집,엉덩물물회,제주 제주시 성두길 7-7 (연동),제주시,제주시내,,
맛집,로우허판,제주 제주시 성신로 15 (연동),제주시,제주시내,,
맛집,퐁낭그늘,제주 제주시 성신로 30 1층 (연동),제주시,제주시내,,
맛집,우리양,제주 제주시 성신로1길 23 1층 104호 (연동),제주시,제주시내,,
맛집,콧수염양꼬치,제주 제주시 성신로1길 30 (연동),제주시,제주시내,,
맛집,대굴대굴굴구이,제주 제주시 성신로2길 19 (연동),제주시,제주시내,,
맛집,혹시,제주 제주시 성신로2길 19-5 1층 (연동),제주시,제주시내,,
맛집,모임터칼국수전문점,제주 제주시 성신북길 30 (연동),제주시,제주시내,,
맛집,오현돼지불백,제주 제주시 성지로 58-2 (일도2동),제주시,제주시내,,
맛집,살아있는해물뚝배기 어마장장,제주 제주시 성지로 62 (일도이동),제주시,제주시내,,
맛집,파도식당,제주 제주시 성지로 68-1 (일도2동),제주시,제주시내,,
맛집,양식당,제주 제주시 성화로5길 5 1층 101호 (용담이동),제주시,제주시내,,
맛집,요리랄라,제주 제주시 수덕5길 42 1층 (노형동),제주시,제주시내,,
맛집,아침바다 횟집,제주 제주시 수덕5길 66 1층 (노형동),제주시,제주시내,,
맛집,용꽈배기 신제주점,제주 제주시 수덕5길 85-7 (노형동),제주시,제주시내,,
맛집,밀밭,제주 제주시 수덕로 13 (노형동),제주시,제주시내,,
맛집,밀면촌,제주 제주시 승천로 15 (이도2동),제주시,제주시내,,
맛집,전복만찬,제주 제주시 승천로 3 (이도2동),제주시,제주시내,,
맛집,다정곱창전골전문점,제주 제주시 신광로 12 1층 (연동),제주시,제주시내,,
맛집,제주돼지,제주 제주시 신광로4길 6 (연동),제주시,제주시내,,
맛집,우연국수 1호점,제주 제주시 신광로6길 2 (연동),제주시,제주시내,,
맛집,장똘뱅이오마카세,제주 제주시 신광로6길 25 (연동),제주시,제주시내,,
맛집,공푸마라탕,제주 제주시 신광로8길 22 (연동),제주시,제주시내,,
맛집,긴자,제주 제주시 신광로8길 30-1 (연동),제주시,제주시내,,
맛집,모심청국장,제주 제주시 신대로10길 17 (연동),제주시,제주시내,,
맛집,차돌집,제주 제주시 신대로10길 29 (연동),제주시,제주시내,,
맛집,무정식당,제주 제주시 신대로10길 29 (연동),제주시,제주시내,,
맛집,또장군,제주 제주시 신대로10길 32 (연동),제주시,제주시내,,
맛집,명호마농갈비 본점,제주 제주시 신대로12길 15 (연동),제주시,제주시내,,
맛집,제주국담,제주 제주시 신대로12길 17 (연동),제주시,제주시내,,
맛집,대관원,제주 제주시 신대로13길 3 (연동),제주시,제주시내,,
맛집,송림식당 신제주본점,제주 제주시 신대로14길 34 (연동),제주시,제주시내,,
맛집,바라수제버거,제주 제주시 신대로14길 42 지하 (연동),제주시,제주시내,,
맛집,이유,제주 제주시 신대로14길 43 1층 (연동),제주시,제주시내,,
맛집,둥지,제주 제주시 신대로14길 50 1층 (연동),제주시,제주시내,,
맛집,집앞돈까스,제주 제주시 신대로15길 20 아랑빌라 1층 (연동),제주시,제주시내,,
맛집,삼오칠회센터,제주 제주시 신대로16길 33 (연동),제주시,제주시내,,
맛집,화룡양꼬치,제주 제주시 신대로16길 40 (연동),제주시,제주시내,,
맛집,카도,제주 제주시 신대로16길 41 1층 (연동),제주시,제주시내,,
맛집,영건식당,제주 제주시 신대로16길 44 (연동),제주시,제주시내,,
맛집,더팔당제주,제주 제주시 신대로16길 44 (연동),제주시,제주시내,,
맛집,종승호,제주 제주시 신대로16길 44 1층 (연동),제주시,제주시내,,
맛집,로당 연동점,제주 제주시 신대로16길 47 (연동),제주시,제주시내,,
맛집,상상꼬챙이,제주 제주시 신대로16길 47 (연동),제주시,제주시내,,
맛집,미복빈대떡,제주 제주시 신대로16길 49 (연동),제주시,제주시내,,
맛집,(주)천향휘,제주 제주시 신대로16길 50 (연동),제주시,제주시내,,
맛집,넝쿨하눌연동,제주 제주시 신대로7길 17 1층 (연동),제주시,제주시내,,
맛집,종로손칼국수,제주 제주시 신대로7길 4 (연동),제주시,제주시내,,
맛집,담백한그집,제주 제주시 신대로8길 5 (연동),제주시,제주시내,,
맛집,제주맛동산칼국수,제주 제주시 신대로9길 19 (연동),제주시,제주시내,,
맛집,제주회포장,제주 제주시 신산로11길 48 (일도2동),제주시,제주시내,,
맛집,영미식당,제주 제주시 신산로2길 9 1층 (일도일동),제주시,제주시내,,
맛집,타니,제주 제주시 신설로 40-11 1층 (아라이동),제주시,제주시내,,
맛집,타이웍,제주 제주시 신설로11길 2 (아라이동),제주시,제주시내,,
맛집,하롱,제주 제주시 신설로11길 2-10 1층 (아라이동),제주시,제주시내,,
맛집,미묘,제주 제주시 신설로4길 3 1층 (이도이동),제주시,제주시내,,
맛집,엘픽,제주 제주시 신설로5길 5-10 1층 (이도이동),제주시,제주시내,,
맛집,라이터스블럭,제주 제주시 신설로5길 8 (이도이동),제주시,제주시내,,
맛집,미우,제주 제주시 신설로7길 27 1층 (이도이동),제주시,제주시내,,
맛집,소담한봉봉,제주 제주시 신설로9길 20 (이도2동),제주시,제주시내,,
맛집,마구로쇼쿠도,제주 제주시 신설로9길 26-12 비동 1층 102호 (이도이동),제주시,제주시내,,
맛집,느루온,제주 제주시 신설로9길 33 지하 1층 (이도이동),제주시,제주시내,,
맛집,제주방앗간,제주 제주시 신설로9길 35 (이도이동),제주시,제주시내,,
맛집,촵촵,제주 제주시 신설로9길 8-1 1층 (이도이동),제주시,제주시내,,
맛집,드렁킨타이 제주시청점,제주 제주시 신성로 109 1층 (이도이동),제주시,제주시내,,
맛집,해피치즈스마일 제주시점,제주 제주시 신성로 114 1층 (이도이동),제주시,제주시내,,
맛집,동강,제주 제주시 신성로 17 (도남동),제주시,제주시내,,
맛집,면시루,제주 제주시 신성로 42 1층 (도남동),제주시,제주시내,,
맛집,노포갈비,제주 제주시 신성로 82-2 (도남동),제주시,제주시내,,
맛집,위트레이즌,제주 제주시 신성로 82-8 1층 (도남동),제주시,제주시내,,
맛집,고씨네막창,제주 제주시 신성로 88 (도남동),제주시,제주시내,,
맛집,닥그네,제주 제주시 신성로10길 18 1층 (도남동),제주시,제주시내,,
맛집,리틀핑거,제주 제주시 신성로10길 36 덕진웰리브아파트 101호 (도남동),제주시,제주시내,,
맛집,파뷔노파스타바,제주 제주시 신성로12길 2 1층 (이도이동),제주시,제주시내,,
맛집,공간,제주 제주시 신성로13길 13-1 3층 (이도이동),제주시,제주시내,,
맛집,아다미,제주 제주시 신성로13길 25 2층 (이도이동),제주시,제주시내,,
맛집,랜돌프비어 시청점,제주 제주시 신성로13길 27 (이도이동),제주시,제주시내,,
맛집,라라쿵푸마라탕,제주 제주시 신성로13길 29 (이도이동),제주시,제주시내,,
맛집,쇼넨 제주시청점,제주 제주시 신성로13길 6 (이도이동),제주시,제주시내,,
맛집,진행수산,제주 제주시 신성로7길 20 (도남동),제주시,제주시내,,
맛집,쿠쿠아림,제주 제주시 아란2길 38 101호 (아라일동),제주시,제주시내,,
맛집,담뽀뽀,제주 제주시 아란2길 56 1층 (아라일동),제주시,제주시내,,
맛집,응그레,제주 제주시 아란7길 46 1층 (아라일동),제주시,제주시내,,
맛집,리릭,제주 제주시 아란9길 25 103호 (아라일동),제주시,제주시내,,
맛집,회심,제주 제주시 아봉로 200 1층 (영평동),제주시,제주시내,,
맛집,김희선제주몸국,제주 제주시 어영길 45-6 1층 (용담삼동),제주시,제주시내,,
맛집,쭈꾸쭈꾸쭈꾸미 5호점,제주 제주시 연동11길 33 1호 (연동),제주시,제주시내,,
맛집,연동회관,제주 제주시 연동13길 33 1층 (연동),제주시,제주시내,,
맛집,시골길,제주 제주시 연동13길 9 (연동),제주시,제주시내,,
맛집,국민닭발 제주점,제주 제주시 연동13길 9 (연동),제주시,제주시내,,
맛집,카메카츠,제주 제주시 연동14길 14 (연동),제주시,제주시내,,
맛집,머믈,제주 제주시 연동4길 16 1층 (연동),제주시,제주시내,,
맛집,옛집2,제주 제주시 연동4길 8 (연동),제주시,제주시내,,
맛집,사계진미숯불닭갈비 제원점,제주 제주시 연동7길 22 1층 (연동),제주시,제주시내,,
맛집,수미일관,제주 제주시 연동8길 19 (연동),제주시,제주시내,,
맛집,돈떵이,제주 제주시 연동8길 19 (연동),제주시,제주시내,,
맛집,번개포차,"제주 제주시 연동9길 18 1,2층 (연동)",제주시,제주시내,,
맛집,양푼속닭한마리,제주 제주시 연동9길 26 1층 (연동),제주시,제주시내,,
맛집,스시테이카이센동,제주 제주시 연북로 440 (도남동),제주시,제주시내,,
맛집,여섯줄인생,제주 제주시 연사2길 72 송우수자인빌 104동 지하1층 B101호 (오라이동),제주시,제주시내,,
맛집,올레풍경,제주 제주시 연삼로 121 (오라삼동),제주시,제주시내,,
맛집,마포화곱창 제주이도점,제주 제주시 연삼로 436 하늘그린5차 1층 (이도이동),제주시,제주시내,,
맛집,황포돛대,제주 제주시 연삼로 474 (이도2동),제주시,제주시내,,
맛집,보옥이네닭도리탕,제주 제주시 연삼로 543 (일도이동),제주시,제주시내,,
맛집,공공시,제주 제주시 연수로1길 6 2층 (일도이동),제주시,제주시내,,
맛집,30년할매닭발,제주 제주시 연수로3길 3 (일도이동),제주시,제주시내,,
맛집,쇠소깍횟집,제주 제주시 연수로4길 1 (일도이동),제주시,제주시내,,
맛집,풍어회센타,제주 제주시 연수중길 15 (일도이동),제주시,제주시내,,
맛집,장모식탁,제주 제주시 연신로 51 1층 (이도이동),제주시,제주시내,,
맛집,메밀꽃차롱,제주 제주시 연오로 136 (연동),제주시,제주시내,,
맛집,메콩스카이,제주 제주시 연오로 35 (오라삼동),제주시,제주시내,,
맛집,개염지영말축,제주 제주시 연오로 68 1층 (연동),제주시,제주시내,,
맛집,부가네얼큰이 신시가지점,제주 제주시 연화로 41 (연동),제주시,제주시내,,
맛집,정직유부 제주연동점,제주 제주시 연화로1길 9 1층 (연동),제주시,제주시내,,
맛집,자연뜨락,제주 제주시 연화로2길 16-1 (연동),제주시,제주시내,,
맛집,죽마고우,제주 제주시 연화로2길 20 (연동),제주시,제주시내,,
맛집,오키니,제주 제주시 연화로2길 8 1층 (연동),제주시,제주시내,,
맛집,우정곱창 연동점,제주 제주시 연화중길 15 (연동),제주시,제주시내,,
맛집,감나무집,제주 제주시 오남로 12 (오라일동),제주시,제주시내,,
맛집,문문선,제주 제주시 오등6길 31 (오등동),제주시,제주시내,,
맛집,스시오하요,제주 제주시 용담로 92 (용담2동),제주시,제주시내,,
맛집,마두천칼국수,제주 제주시 용해로 45 1층 (용담이동),제주시,제주시내,,
맛집,팟타이시암,제주 제주시 용화로 41-2 (용담이동),제주시,제주시내,,
맛집,고수참치 오마카세,제주 제주시 용화로 49 (용담이동),제주시,제주시내,,
맛집,임성교자,제주 제주시 용화로 57 (용담이동),제주시,제주시내,,
맛집,임성반점,제주 제주시 용화로 57-1 (용담이동),제주시,제주시내,,
맛집,광령갈비,제주 제주시 용화로 60-1 (용담2동),제주시,제주시내,,
맛집,아빠부엌,제주 제주시 우령2길 11 (외도일동),제주시,제주시내,,
맛집,미도리제주,제주 제주시 우령4길 5 (외도일동),제주시,제주시내,,
맛집,오늘은좋은날,제주 제주시 우령8길 17 1층 (외도일동),제주시,제주시내,,
맛집,황룡 다이닝펍,제주 제주시 우령8길 8 1층 (외도일동),제주시,제주시내,,
맛집,패티스터,제주 제주시 우령8길 8 1층 (외도일동),제주시,제주시내,,
맛집,레술토랑혼디,제주 제주시 우령서로 57 상가 101호 (외도일동),제주시,제주시내,,
맛집,정담오리회전숯불구이,제주 제주시 우령서로 73 (외도일동),제주시,제주시내,,
맛집,해왕성반점,제주 제주시 우령안1길 26 (외도일동),제주시,제주시내,,
맛집,요기소바 외도점,제주 제주시 우령안1길 29 (외도일동),제주시,제주시내,,
맛집,제주내리막,제주 제주시 우정로 18 (외도일동),제주시,제주시내,,
맛집,미미,제주 제주시 우정로11길 5 1층 (외도일동),제주시,제주시내,,
맛집,삼춘이야기,제주 제주시 우정로12길 1 (외도일동),제주시,제주시내,,
맛집,우정양꼬치,제주 제주시 우정로13길 9 (외도일동),제주시,제주시내,,
맛집,슬이네찌개마을 1호점,제주 제주시 우정로16길 16 (외도일동),제주시,제주시내,,
맛집,김창민씨네식당,제주 제주시 우정로18길 12 (외도일동),제주시,제주시내,,
맛집,몽돌,제주 제주시 우정로5길 10 (외도일동),제주시,제주시내,,
맛집,친구집해물포차,제주 제주시 우정로7길 30 (외도일동),제주시,제주시내,,
맛집,산촌 외도점,제주 제주시 우정로8길 1 (외도일동),제주시,제주시내,,
맛집,소앵븟,제주 제주시 우정로8길 6 탐라하이츠빌 지하1층 (외도일동),제주시,제주시내,,
맛집,통김치찌개,제주 제주시 원노형10길 20 해모로루엔 상가 105호 (노형동),제주시,제주시내,,
맛집,스탁,제주 제주시 원노형10길 34 1층 (노형동),제주시,제주시내,,
맛집,포뚜이 (22년5월31일까지 휴무),제주 제주시 원노형2길 29-6 2층 (노형동),제주시,제주시내,,
맛집,컨터,제주 제주시 원노형2길 29-6 2층 (노형동),제주시,제주시내,,
맛집,제주세호해장국 제주본점,제주 제주시 원노형3길 39 (노형동),제주시,제주시내,,
맛집,동백별장,제주 제주시 원노형3길 44 (노형동),제주시,제주시내,,
맛집,공간뉴제주,제주 제주시 원노형6길 2 (노형동),제주시,제주시내,,
맛집,김서방재첩해장국,제주 제주시 원노형6길 27 (노형동),제주시,제주시내,,
맛집,차차,제주 제주시 원노형6길 29 (노형동),제주시,제주시내,,
맛집,요기소바,제주 제주시 원노형6길 3-4 1층 (노형동),제주시,제주시내,,
맛집,수영국밥,제주 제주시 원노형6길 30 (노형동),제주시,제주시내,,
맛집,제주본참숯불갈비,제주 제주시 원노형남1길 31 (노형동),제주시,제주시내,,
맛집,알콜달콜,제주 제주시 원노형로 22 (노형동),제주시,제주시내,,
맛집,신제주양곱창,제주 제주시 원노형로 23 (노형동),제주시,제주시내,,
맛집,십원향,제주 제주시 원노형로 23 104호 (노형동),제주시,제주시내,,
맛집,물팡과허벅,제주 제주시 원노형로 35 103호 (노형동),제주시,제주시내,,
맛집,아비꼬 제주노형점,제주 제주시 원노형로 48 1층 (노형동),제주시,제주시내,,
맛집,WDR,제주 제주시 원당로3길 26 1층 (삼양일동),제주시,제주시내,,
맛집,만강촌옛날칼국수,제주 제주시 월랑로 42 (노형동),제주시,제주시내,,
맛집,해방집,제주 제주시 월랑로 50 지하 1층 B101호 (노형동),제주시,제주시내,,
맛집,힛업,제주 제주시 월랑로 9 1층 (노형동),제주시,제주시내,,
맛집,가담국수,제주 제주시 월랑로10길 21 (노형동),제주시,제주시내,,
맛집,내고향해장국 노형점,제주 제주시 월랑로4길 14 (노형동),제주시,제주시내,,
맛집,고향숯불막창 제주지사,제주 제주시 월랑로4길 6 (노형동),제주시,제주시내,,
맛집,매운향솥,제주 제주시 은남1길 31 (연동),제주시,제주시내,,
맛집,바나나껍데기,제주 제주시 은남2길 30 (연동),제주시,제주시내,,
맛집,마이도,제주 제주시 은남2길 35 1층 (연동),제주시,제주시내,,
맛집,탕궁훠궈,제주 제주시 은남2길 41 1층 (연동),제주시,제주시내,,
맛집,소렉,제주 제주시 은남2길 41 1층 (연동),제주시,제주시내,,
맛집,국수만찬,제주 제주시 은남3길 1 (연동),제주시,제주시내,,
맛집,솔담,제주 제주시 은남3길 32 1층 (연동),제주시,제주시내,,
맛집,산우정,제주 제주시 은남4길 29 (연동),제주시,제주시내,,
맛집,용용선생 제주연동점,제주 제주시 은남4길 46 (연동),제주시,제주시내,,
맛집,산전수전인생역전,제주 제주시 은남길 40 (연동),제주시,제주시내,,
맛집,코하쿠,제주 제주시 은수길 108 1층 (노형동),제주시,제주시내,,
맛집,평창메밀막국수,제주 제주시 은수길 6-9 (노형동),제주시,제주시내,,
맛집,별미돈,제주 제주시 인다13길 59 (아라일동),제주시,제주시내,,
맛집,심야식당 코나카,제주 제주시 인다14길 28-12 (아라일동),제주시,제주시내,,
맛집,시머폿,제주 제주시 인다1길 65 1층 (아라이동),제주시,제주시내,,
맛집,형제카츠,제주 제주시 인다2길 20 (아라일동),제주시,제주시내,,
맛집,우등생,제주 제주시 인다2길 28 1층 (아라일동),제주시,제주시내,,
맛집,고서방짬뽕,제주 제주시 인다5길 11-5 (아라일동),제주시,제주시내,,
맛집,그란데,제주 제주시 인다6길 42 1층 (아라일동),제주시,제주시내,,
맛집,문경회센터,제주 제주시 인다7길 10 (아라일동),제주시,제주시내,,
맛집,쿠로,제주 제주시 인다8길 29 1층 101호 (아라일동),제주시,제주시내,,
맛집,삼남매식당 1호점,제주 제주시 인다9길 18 1층 (아라일동),제주시,제주시내,,
맛집,뽕갈찜,제주 제주시 인다9길 34 (아라일동),제주시,제주시내,,
맛집,화성식당,제주 제주시 일주동로 383 (삼양이동),제주시,제주시내,,
맛집,박세현의보고싶다 제주라면,제주 제주시 일주서로 7483 (내도동),제주시,제주시내,,
맛집,오솔길,제주 제주시 임항로 264 1층 (건입동),제주시,제주시내,,
맛집,산지해장국,제주 제주시 임항로 34 (건입동),제주시,제주시내,,
맛집,정든마을고깃집,제주 제주시 정든로 20-8 (이도이동),제주시,제주시내,,
맛집,치킨코리아 노형점,제주 제주시 정존5길 4 (노형동),제주시,제주시내,,
맛집,정겨운수제비,제주 제주시 제원1길 23 (연동),제주시,제주시내,,
맛집,아우라키친,제주 제주시 제주대학로7길 9 1층 (아라이동),제주시,제주시내,,
맛집,큰물살아있는해물탕,제주 제주시 조공포길 49 (외도일동),제주시,제주시내,,
맛집,기회횟집,제주 제주시 중앙로 23 1층 (건입동),제주시,제주시내,,
맛집,잇마이피자,제주 제주시 중앙로 253 2층 (이도이동),제주시,제주시내,,
맛집,프렙제주,제주 제주시 중앙로 28 4층 (일도일동),제주시,제주시내,,
맛집,마초그릴,제주 제주시 중앙로 39 남강빌딩 2층 (일도1동),제주시,제주시내,,
맛집,북교해바라기,제주 제주시 중앙로 46-8 (일도1동),제주시,제주시내,,
맛집,제주오겹살왕돌구이집 제주본점,제주 제주시 중앙로 538 1층 (아라일동),제주시,제주시내,,
맛집,스니프,제주 제주시 중앙로 543 1층 (아라일동),제주시,제주시내,,
맛집,골목식당,제주 제주시 중앙로 63-9 (이도1동),제주시,제주시내,,
맛집,기꾸스시,제주 제주시 중앙로 73 (이도일동),제주시,제주시내,,
맛집,명동손칼국수,제주 제주시 중앙로15길 5 (이도1동),제주시,제주시내,,
맛집,올댓제주,제주 제주시 중앙로1길 33 (건입동),제주시,제주시내,,
맛집,태양상회,제주 제주시 중앙로2길 31 (삼도이동),제주시,제주시내,,
맛집,아피로 와인바,제주 제주시 중앙로2길 35 1층 아피로 와인바 제주점 (삼도이동),제주시,제주시내,,
맛집,아살람레스토랑,제주 제주시 중앙로2길 7 1층 (삼도이동),제주시,제주시내,,
맛집,하루방보쌈 제주본점,제주 제주시 중앙로2길 9 (삼도이동),제주시,제주시내,,
맛집,제주탑동골목,제주 제주시 중앙로5길 13 1층 (일도일동),제주시,제주시내,,
맛집,제주인짬뽕 삼화점,제주 제주시 지석12길 14 (삼양이동),제주시,제주시내,,
맛집,복닥키친,제주 제주시 진군3길 19 1층 (노형동),제주시,제주시내,,
맛집,육고깃집 노형점,제주 제주시 진군4길 8 (노형동),제주시,제주시내,,
맛집,국시트멍,제주 제주시 진군길 31-3 1층 (노형동),제주시,제주시내,,
맛집,이디가카,제주 제주시 진남로6길 14 (화북일동),제주시,제주시내,,
맛집,제주가마골,제주 제주시 천수동로 51-5 (건입동),제주시,제주시내,,
맛집,홍콩미각,제주 제주시 천수로 11 (이도이동),제주시,제주시내,,
맛집,골막식당,제주 제주시 천수로 12 (이도2동),제주시,제주시내,,
맛집,율군짬뽕,제주 제주시 천수로 82 혜성대유아파트 105동 101호 (일도이동),제주시,제주시내,,
맛집,경락횟집,제주 제주시 천수로13길 6 (일도2동),제주시,제주시내,,
맛집,한라생얼큰이,제주 제주시 천수로6길 11 (이도2동),제주시,제주시내,,
맛집,빈대떡과사람덜,제주 제주시 천수로6길 4 (이도이동),제주시,제주시내,,
맛집,남원바당,제주 제주시 천수로8길 7 (일도이동),제주시,제주시내,,
맛집,남춘식당,제주 제주시 청귤로 12 (이도이동),제주시,제주시내,,
맛집,휴계농장,제주 제주시 청귤로 16 (이도2동),제주시,제주시내,,
맛집,제주통큰장어,제주 제주시 청귤로3길 50 (이도이동),제주시,제주시내,,
맛집,태광식당,제주 제주시 탑동로 144 (용담일동),제주시,제주시내,,
맛집,라운지바 곶,제주 제주시 탑동로 17 지하 1층 (삼도이동),제주시,제주시내,,
맛집,만창일치,제주 제주시 탑동로 31-1 (삼도이동),제주시,제주시내,,
맛집,늘소담,제주 제주시 탑동로 31-3 (삼도이동),제주시,제주시내,,
맛집,우주파,제주 제주시 탑동로 81 1층 (삼도이동),제주시,제주시내,,
맛집,용기,제주 제주시 탑동로2길 7 1층 (삼도이동),제주시,제주시내,,
맛집,내도음악상가,제주 제주시 테우해안로 106 2층 (내도동),제주시,제주시내,,
맛집,딩동댕,제주 제주시 테우해안로 148 2층 (이호일동),제주시,제주시내,,
맛집,한라진칼국수,제주 제주시 테우해안로 32 1층 (내도동),제주시,제주시내,,
맛집,돌담너머바다 판포점,제주 제주시 테우해안로 44-1 1층 (내도동),제주시,제주시내,,
맛집,513텐동 제주점,제주 제주시 테우해안로 46 2층 (내도동),제주시,제주시내,,
맛집,참치싸롱,제주 제주시 통물길 120 1층 (외도일동),제주시,제주시내,,
맛집,하루나,제주 제주시 한라대학로 97 1층 (노형동),제주시,제주시내,,
맛집,소소밀,제주 제주시 한북로 139 1층 (오등동),제주시,제주시내,,
맛집,언플러그,제주 제주시 해안마을길 43 지하1층 (해안동),제주시,제주시내,,
맛집,포옥,제주 제주시 화남로 47 1층 (화북일동),제주시,제주시내,,
맛집,권가칼국수,제주 제주시 화삼북로 38 1층 (화북일동),제주시,제주시내,,
맛집,화산2020,제주 제주시 흥운길 85 1층 (용담이동),제주시,제주시내,,
맛집,무용담,제주 제주시 흥운길 91 (용담이동),제주시,제주시내,,
맛집,제주미담,제주특별자치도 제주시 가령로 19 (이도이동),제주시,제주시내,,
맛집,에프터글로우,제주특별자치도 제주시 간월동로 67-3 (아라이동),제주시,제주시내,,
맛집,옐로우돕,제주특별자치도 제주시 고마로16길 9 (일도이동),제주시,제주시내,,
맛집,에이어,제주특별자치도 제주시 고마로17길 11 지하1층 (일도이동),제주시,제주시내,,
맛집,스시앤,제주특별자치도 제주시 고산동산5길 21-1 105호 (이도2동),제주시,제주시내,,
맛집,순희뽀글이정식,제주특별자치도 제주시 공설로 27-1 (오라일동),제주시,제주시내,,
맛집,송림반점,제주특별자치도 제주시 관덕로 2-1 (삼도2동),제주시,제주시내,,
맛집,자양삼계탕,제주특별자치도 제주시 관덕로6길 17 1층 (삼도이동),제주시,제주시내,,
